LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000326,20/12/2013,0.1915,0.4675833333333335,1.841,48,0.4643664104137673,22.44400000000001,0.106
MAC000326,21/12/2013,0.2915,0.41952083541666685,1.3940001,48,0.30860372490073185,20.13700010000001,0.10800000000000001
MAC000326,22/12/2013,0.30499999999999994,0.6472083395833333,2.079,48,0.5972223043486616,31.066000300000002,0.114
MAC000326,23/12/2013,0.7015,0.7767916687500002,2.0840001,48,0.5961483122353274,37.28600010000001,0.10800000000000001
MAC000326,24/12/2013,0.22899999999999998,0.34518750000000004,1.607,48,0.2712264231345887,16.569000000000003,0.124
MAC000326,25/12/2013,0.176,0.32429166249999997,1.5369999,48,0.34597717109484943,15.565999799999998,0.10300000000000001
MAC000326,26/12/2013,0.183,0.32416666874999994,1.4630001,48,0.3332245710855931,15.560000099999998,0.11800000000000001
MAC000326,27/12/2013,0.36,0.5563958354166666,1.982,48,0.48903068978418734,26.707000099999995,0.133
MAC000326,28/12/2013,0.1765,0.3239166666666667,2.3050001,48,0.4514005122468715,15.548000000000002,0.11699999999999999
MAC000326,29/12/2013,0.17200000000000001,0.17541666666666667,0.248,48,0.034405487769431226,8.42,0.109
MAC000326,30/12/2013,0.166,0.32664582916666657,1.8329999,48,0.4370058778665271,15.678999799999994,0.11199999999999999
MAC000326,31/12/2013,0.16499999999999998,0.22541666666666668,0.73,48,0.15145364199569078,10.82,0.10400000000000001
MAC000326,1/1/2014,0.348,0.7064166708333333,2.072,48,0.6290865025405679,33.9080002,0.11
MAC000326,2/1/2014,0.16699999999999998,0.30302083124999996,1.6109999,48,0.35172525295368984,14.544999899999997,0.089
MAC000326,3/1/2014,0.306,0.5826041666666667,1.956,48,0.5303972714052971,27.965000000000003,0.094
MAC000326,4/1/2014,0.1785,0.21220833333333333,0.875,48,0.13094939063547195,10.186,0.113
MAC000326,5/1/2014,0.1735,0.3396458354166667,1.829,48,0.4230943068163085,16.303000100000002,0.11199999999999999
MAC000326,6/1/2014,0.203,0.5278750000000001,1.5719999999999998,48,0.5209145650128755,25.338000000000005,0.105
MAC000326,7/1/2014,0.5625,0.7127291645833332,1.858,48,0.5855491947629167,34.2109999,0.095
MAC000326,8/1/2014,0.619,0.6257708270833333,1.767,48,0.45334811468200403,30.0369997,0.10800000000000001
MAC000326,9/1/2014,0.209,0.3601666666666666,1.247,48,0.27624005389495293,17.287999999999997,0.10099999999999999
MAC000326,10/1/2014,0.161,0.17200000000000001,0.363,48,0.054089366556358244,8.256,0.109
MAC000326,11/1/2014,0.1515,0.1535208333333333,0.231,48,0.030303422728761416,7.368999999999998,0.092
MAC000326,12/1/2014,0.155,0.15627083333333336,0.23,48,0.026243329108461742,7.501000000000001,0.109
MAC000326,13/1/2014,0.14800000000000002,0.32106249791666663,2.1570001,48,0.48626353923528776,15.410999899999998,0.067
MAC000326,14/1/2014,0.1585,0.5307916583333334,2.1459999,48,0.7154610902797274,25.477999600000004,0.099
MAC000326,15/1/2014,0.515,0.6086250020833334,2.2130001,48,0.4830657336943715,29.2140001,0.107
MAC000326,16/1/2014,0.21200000000000002,0.41558333541666664,1.8880000000000001,48,0.3859080976294196,19.948000099999998,0.073
MAC000326,17/1/2014,0.163,0.35068749791666676,2.0409999,48,0.40346863028782043,16.832999900000004,0.099
MAC000326,18/1/2014,0.1355,0.13191666666666663,0.18899999999999997,48,0.026337283122400912,6.331999999999998,0.076
MAC000326,19/1/2014,0.1385,0.13589583333333335,0.19,48,0.026644419,6.523000000000001,0.079
MAC000326,20/1/2014,0.153,0.5425416624999999,2.842,48,0.7058154417000236,26.041999799999996,0.049
MAC000326,21/1/2014,0.264,0.5448333375000001,1.9569999999999999,48,0.519463081,26.152000200000003,0.105
MAC000326,22/1/2014,0.46950000000000003,0.5972083354166665,2.7320001,48,0.5150329537819722,28.666000099999994,0.071
MAC000326,23/1/2014,0.41000000000000003,0.5540208291666666,1.92,48,0.4571233044645339,26.592999799999998,0.138
MAC000326,24/1/2014,0.1795,0.368895831,1.925,48,0.41103243920607874,17.7069999,0.078
MAC000326,25/1/2014,0.178,0.5026874979166666,2.299,48,0.5413275662947395,24.128999899999997,0.097
MAC000326,26/1/2014,0.26949999999999996,0.5176875020833333,2.55,48,0.5178322757369871,24.849000099999998,0.13699999999999998
MAC000326,27/1/2014,0.281,0.5982291645833333,2.0810001000000002,48,0.5249467364513327,28.7149999,0.138
MAC000326,28/1/2014,0.356,0.48239583124999985,1.237,48,0.3764765352255615,23.154999899999993,0.082
MAC000326,29/1/2014,0.3295,0.536687498,1.4680001,48,0.4058405057287409,25.760999900000016,0.138
MAC000326,30/1/2014,0.1725,0.46522916666666675,2.0109999,48,0.5824555604958057,22.331000000000003,0.102
MAC000326,31/1/2014,0.6675,0.8160833312499999,2.2569999999999997,48,0.6483694705375771,39.171999899999996,0.115
MAC000326,1/2/2014,0.1925,0.46631250000000013,2.052,48,0.528405436,22.383000000000006,0.109
MAC000326,2/2/2014,0.1985,0.5555208333333334,1.913,48,0.5653459114177245,26.665000000000003,0.109
MAC000326,3/2/2014,0.1535,0.32085416249999993,1.4349999,48,0.3801360780962398,15.400999799999997,0.086
MAC000326,4/2/2014,0.184,0.36495833750000006,1.431,48,0.33787818112208606,17.518000200000003,0.1
MAC000326,5/2/2014,0.3645,0.5930625020833336,2.8050001,48,0.5457646077203616,28.46700010000001,0.133
MAC000326,6/2/2014,0.20650000000000002,0.29910416666666667,1.314,48,0.24924313000484072,14.357000000000001,0.11199999999999999
MAC000326,7/2/2014,0.135,0.1471458333333334,0.256,48,0.039480666,7.063000000000002,0.057
MAC000326,8/2/2014,0.16599999999999998,0.1965833333333333,0.43700000000000006,48,0.082029272,9.435999999999998,0.12
MAC000326,9/2/2014,0.16799999999999998,0.17756250000000004,0.496,48,0.057944547,8.523000000000001,0.102
MAC000326,10/2/2014,0.14450000000000002,0.29237499999999994,1.9709999999999999,48,0.40083724213307703,14.033999999999997,0.106
MAC000326,11/2/2014,0.155,0.15977083333333333,0.213,48,0.028566636977896964,7.6690000000000005,0.089
MAC000326,12/2/2014,0.1955,0.7413124916666667,2.8469999,48,0.8486889122609543,35.5829996,0.11900000000000001
MAC000326,13/2/2014,0.5285,0.7714583395833334,2.072,48,0.6263002862911161,37.030000300000005,0.077
MAC000326,14/2/2014,0.2135,0.35652083125000006,1.247,48,0.3185763482249048,17.112999900000002,0.14
MAC000326,15/2/2014,0.1975,0.19747916666666668,0.446,48,0.050020417,9.479000000000001,0.10099999999999999
MAC000326,16/2/2014,0.16,0.16020833333333326,0.231,48,0.04168165,7.689999999999996,0.051
MAC000326,17/2/2014,0.149,0.5012083333333334,2.6630001,48,0.6671001722741704,24.058,0.091
MAC000326,18/2/2014,0.1755,0.48504166458333337,2.625,48,0.6000229361232255,23.281999900000002,0.091
MAC000326,19/2/2014,0.4525,0.5105624999999998,1.501,48,0.3559136822350718,24.50699999999999,0.086
MAC000326,20/2/2014,0.1615,0.2906458333333333,1.318,48,0.26449457940657495,13.951,0.076
MAC000326,21/2/2014,0.20350000000000001,0.5929166645833334,2.7409999,48,0.6638594979753838,28.4599999,0.06
MAC000326,22/2/2014,0.2245,0.3838958354166666,1.6900001,48,0.37617850958298327,18.427000099999997,0.088
MAC000326,23/2/2014,0.26749999999999996,0.45002083541666665,1.5650001,48,0.39620747847997223,21.6010001,0.11599999999999999
MAC000326,24/2/2014,0.154,0.4262708333333333,2.6849998999999998,48,0.5252083925891701,20.461,0.078
MAC000326,25/2/2014,0.175,0.19814583333333338,0.845,48,0.12126619033531036,9.511000000000003,0.08
MAC000326,26/2/2014,0.2835,0.6966875020833334,2.029,48,0.6069260249213754,33.441000100000004,0.102
MAC000326,27/2/2014,0.0605,0.32702083958333333,2.957,48,0.6379143858976655,15.697000300000001,0.015
MAC000326,28/2/2014,0.363,0.363,0.363,1,,0.363,0.363
MAC000442,22/3/2012,0.086,0.11799999999999998,0.37200000000000005,24,0.088735072,2.8319999999999994,0.025
MAC000442,23/3/2012,0.0595,0.10360416666666668,0.765,48,0.12953513276546785,4.973000000000001,0.025
MAC000442,24/3/2012,0.065,0.098583333,0.284,48,0.076534746,4.732,0.025
MAC000442,25/3/2012,0.0715,0.1111875,0.445,48,0.085841431,5.337,0.026000000000000002
MAC000442,26/3/2012,0.058499999999999996,0.084416667,0.311,48,0.065348439,4.052,0.026000000000000002
MAC000442,27/3/2012,0.068,0.088666667,0.3,48,0.060311719807175874,4.256,0.027000000000000003
MAC000442,28/3/2012,0.0725,0.095145833,0.276,48,0.060794382993382697,4.566999999999999,0.027000000000000003
MAC000442,29/3/2012,0.089,0.097625,0.319,48,0.059699468973724384,4.686,0.026000000000000002
MAC000442,30/3/2012,0.066,0.10604166666666669,0.6579999999999999,48,0.10499320308970224,5.090000000000001,0.025
MAC000442,31/3/2012,0.0785,0.11266666666666668,0.606,48,0.10346740330219606,5.408,0.027000000000000003
MAC000442,1/4/2012,0.089,0.13658333333333336,0.753,48,0.15257057429872894,6.556000000000002,0.027000000000000003
MAC000442,2/4/2012,0.0865,0.15993749999999998,0.682,48,0.1521806605894678,7.677,0.026000000000000002
MAC000442,3/4/2012,0.081,0.0993125,0.318,48,0.062844,4.766999999999999,0.027999999999999997
MAC000442,4/4/2012,0.0705,0.12093749999999998,0.905,48,0.1422698075429143,5.804999999999999,0.027000000000000003
MAC000442,5/4/2012,0.085,0.10168750000000003,0.281,48,0.063393454,4.881000000000001,0.026000000000000002
MAC000442,6/4/2012,0.1005,0.14108333333333337,0.637,48,0.1280302213879695,6.772000000000001,0.027000000000000003
